,_id,category_code,city,country,founded_year,geoDescription,latitude,longitude,name,number_of_employees,total_money_raised,number of offices near,money by offices,employee by offices,ranking
0,5d2737547bf280155f216109,social,Vancouver,CAN,2008,"{'type': 'Point', 'coordinates': [-123.0952381, 49.2851733]}",49.2851733,-123.0952381,HootSuite,370.0,190000000,6,31666666.666666668,78.5,19000036.2
1,5d2737547bf280155f2160d9,tech,Copenhagen V,DNK,2007,"{'type': 'Point', 'coordinates': [12.5605372, 55.6739617]}",55.6739617,12.5605372,Trustpilot,100.0,18400000,2,9200000.0,54.0,5520023.199999999
2,5d2737547bf280155f21611d,tech,Sao Paulo,BRA,2009,"{'type': 'Point', 'coordinates': [-46.6388182, -23.5489433]}",-23.5489433,-46.6388182,Brandsclub,140.0,17000000,2,8500000.0,95.0,5100039.6
3,5d2737547bf280155f2160bc,tech,Budapest,HUN,2009,"{'type': 'Point', 'coordinates': [19.059078, 47.490346]}",47.490346,19.059078,Prezi,110.0,14300000,2,7150000.0,56.0,4290024.0
4,5d2737547bf280155f2160d3,social,Berlin,DEU,2008,"{'type': 'Point', 'coordinates': [13.3842605, 52.5308516]}",52.5308516,13.3842605,ResearchGate,74.0,35000000,7,5000000.0,62.857142857142854,3000030.742857143
5,5d2737547bf280155f2160bf,tech,Munich,DEU,2007,"{'type': 'Point', 'coordinates': [11.5893956, 48.1654212]}",48.1654212,11.5893956,AdScale,40.0,6150000,2,3075000.0,27.0,1845012.4000000001
6,5d2737547bf280155f2160aa,social,Buenos Aires,ARG,2007,"{'type': 'Point', 'coordinates': [-58.417309, -34.611781]}",-34.611781,-58.417309,Sonico,84.0,6000000,2,3000000.0,44.0,1800019.2000000002
7,5d2737547bf280155f216128,tech,Vancouver,CAN,2009,"{'type': 'Point', 'coordinates': [-123.109217, 49.2824551]}",49.2824551,-123.109217,Tiny Speck,45.0,17200000,6,2866666.6666666665,78.5,1720036.1999999997
8,5d2737547bf280155f2160ac,enterprise,Toronto,CAN,2008,"{'type': 'Point', 'coordinates': [-79.406775, 43.64308]}",43.64308,-79.406775,ScribbleLive,45.0,12000000,5,2400000.0,28.0,1440015.2
9,5d2737547bf280155f21611a,tech,Amsterdam,NLD,2009,"{'type': 'Point', 'coordinates': [4.8928722, 52.3657578]}",52.3657578,4.8928722,Layar,32.0,13400000,6,2233333.3333333335,12.0,1340009.6
10,5d2737547bf280155f2160d2,music,Brussels,BEL,2007,"{'type': 'Point', 'coordinates': [4.33511, 50.831147]}",50.831147,4.33511,Radionomy,12.0,6000000,3,2000000.0,10.0,1200006.4
11,5d2737547bf280155f21609c,education,Berlin,DEU,2007,"{'type': 'Point', 'coordinates': [13.38861, 52.4897]}",52.4897,13.38861,babbel,205.0,10000000,6,1666666.6666666667,72.5,1000033.8
12,5d2737547bf280155f2160a8,tech,Tel Aviv,ISR,2008,"{'type': 'Point', 'coordinates': [34.7595, 32.0554]}",32.0554,34.7595,Jinni,35.0,8100000,5,1620000.0,23.8,972013.52
